,X,Y,OBJECTID,CONV_ID,NAME,CITY,STATE,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_DATE,WEBSITE,COMPLEXNM,FORMERNM,YEARCHNG,FIXED_STS,BALLROOM,EXHIBIT,LOBBY,MAIN_FLOOR,OUTDOOR,PRE_FUNCT,MEET_ROOMS
0,-9603670.7026,3816325.6848,1,62,THE GARRETT COLISEUM,MONTGOMERY,AL,(334) 356-6866,MULTIUSE COMPLEX,OPEN,MONTGOMERY,1101,USA,32.4029849354064,-86.271241757601,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.thegarrettcoliseum.com/,2015/07/15 00:00:00+00,2019/11/18 00:00:00+00,http://www.thegarrettcoliseum.com/facilities/,THE ALABAMA AGRICULTURAL CENTER,NOT AVAILABLE,NOT AVAILABLE,Y,N,N,N,Y,N,N,N
1,-12761421.4008,3850494.848,2,200,YUMA CIVIC CENTER,YUMA,AZ,(928) 373-5040,CONVENTION CENTER,OPEN,YUMA,4027,USA,32.6617676204793,-114.637798914089,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.yumaaz.gov/parks-and-recreation/venues/civic-center.html,2015/10/13 00:00:00+00,2018/10/23 00:00:00+00,http://www.yumaaz.gov/documents/parks-and-recreation/civic-center/YumaCivicCenter.pdf,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,N,N,Y,N,Y
2,-10241066.1224,4058536.8494,3,125,PINE BLUFF CONVENTION CENTER,PINE BLUFF,AR,(870) 536-7600,CONVENTION CENTER,OPEN,JEFFERSON,5069,USA,34.2211573183557,-91.9970622345344,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://pinebluffconvention.center/,2015/09/01 00:00:00+00,2018/10/22 00:00:00+00,https://pinebluffconvention.center/room-layouts,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,Y,N,N,Y,N,N,Y
3,-10271503.2528,4129776.7658,4,106,STATEHOUSE CONVENTION CENTER,LITTLE ROCK,AR,(501) 376-4781,CONVENTION CENTER,OPEN,PULASKI,5119,USA,34.7486561843356,-92.2704836288164,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.littlerockmeetings.com/convention-center/,2015/08/31 00:00:00+00,2018/10/22 00:00:00+00,https://www.littlerockmeetings.com/convention-facilities/statehouse-convention-center/floor-plans-and-capacity,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,N,N,N,Y,Y
4,-10271952.4233,4129855.0709,5,113,ROBINSON CENTER,LITTLE ROCK,AR,(501) 370-3246,CONVENTION CENTER,OPEN,PULASKI,5119,USA,34.7492341597289,-92.274518596356,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.littlerockmeetings.com/meeting-facilities/robinson-center/,2015/08/31 00:00:00+00,2018/10/22 00:00:00+00,https://i2.wp.com/www.robinsoncentersecondact.com/wp-content/uploads/2014/06/ProjectedPresentationFINAL22.jpg,NOT APPLICABLE,ROBINSON AUDITORIUM,NOT AVAILABLE,N,N,Y,Y,N,N,N,Y
5,-10315434.203,3923215.3669,6,90,EL DORADO CONFERENCE CENTER,EL DORADO,AR,(870) 864-8448,CONVENTION CENTER,OPEN,UNION,5139,USA,33.2100310231133,-92.6651220687285,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.eldoradoconferencecenter.com/,2015/09/03 00:00:00+00,2018/10/22 00:00:00+00,http://www.eldoradoconferencecenter.com/index.php?option=com_content&view=article&id=27&Itemid=206,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,N,N,N,N,N,Y
6,-13334406.285,4402265.5741,7,325,FRESNO CONVENTION CENTER,FRESNO,CA,(559) 445-8100,CONVENTION CENTER COMPLEX,OPEN,FRESNO,6019,USA,36.7352323949592,-119.785009705034,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://fresnoconventioncenter.com/,2015/10/22 00:00:00+00,2018/10/23 00:00:00+00,https://fresnoconventioncenter.com/fresno-convention-center/,FRESNO CONVENTION AND ENTERTAINMENT CENTER,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,Y,N,N,N,Y
7,-13109197.9695,4039783.3414,8,502,SHERATON FAIRPLEX CONFERENCE CENTER,POMONA,CA,(909) 623-3111,MULTIUSE COMPLEX,OPEN,LOS ANGELES,6037,USA,34.0817425475735,-117.761928985648,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.fairplex.com/fairplexevents/home,2015/10/20 00:00:00+00,2019/08/29 00:00:00+00,https://www.fairplex.com/fairplexevents/plan/conference-center,FAIRPLEX POMONA CALIFORNIA,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,N,N,N,Y,Y
8,-13156916.2031,3997239.538,9,390,LONG BEACH CONVENTION AND ENTERTAINMENT CENTER,LONG BEACH,CA,(562) 436-3636,CONVENTION CENTER,OPEN,LOS ANGELES,6037,USA,33.7646175707443,-118.190589171453,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.longbeachcc.com/,2015/10/20 00:00:00+00,2018/10/23 00:00:00+00,https://www.longbeachcc.com/our-facilities/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,Y,Y,Y,Y,N,Y,Y
9,-13165795.2124,4034179.0112,10,391,LOS ANGELES CONVENTION CENTER,LOS ANGELES,CA,(213) 741-1151,CONVENTION CENTER,OPEN,LOS ANGELES,6037,USA,34.0400349635428,-118.270350668748,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.lacclink.com/,2015/10/21 00:00:00+00,2018/10/23 00:00:00+00,https://www.lacclink.com/planners/planners-resources,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,Y,Y,N,N,N,Y,Y
