,OBJECTID,VENUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_DATE,NAME2,geometry
0,1,1.0,MILWAUKEE MILE,640 SOUTH 84TH STREET,WEST ALLIS,WI,53214,NOT AVAILABLE,SINGLE USE,OPEN,45000.0,MILWAUKEE,55079,USA,43.020179936000034,-88.01062992999994,711212,RACETRACKS,http://wistatefair.com/wsfp/2018/01/22/milwaukee-mile-speedway/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9797298.5082 5315043.943599999)
1,2,16.0,STREETS OF ST. PETERSBURG,BAYSHORE DRIVE SE,SAINT PETERSBURG,FL,33701,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,PINELLAS,12103,USA,27.765489925000054,-82.62992000999998,711212,RACETRACKS,http://www.gpstpete.com/,2015-01-30,2018-08-13,GRAND PRIX OF ST. PETERSBURG,POINT (-9198320.6198 3219439.4778000005)
2,3,17.0,STREETS OF LONG BEACH,300 EAST OCEAN BOULEVARD,LONG BEACH,CA,90802,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,LOS ANGELES,06037,USA,33.763232394000056,-118.19262458299994,711212,RACETRACKS,http://www.gplb.com/,2015-01-30,2018-08-13,GRAND PRIX OF LONG BEACH,POINT (-13157142.7841 3997054.0565000027)
3,4,18.0,BARBER MOTORSPORTS PARK,6040 BARBER MOTORSPORTS PKY,BIRMINGHAM,AL,35094,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,JEFFERSON,01073,USA,33.53200000000004,-86.61899999999997,711212,RACETRACKS,https://barberracingevents.com/,2015-01-30,2018-08-13,GRAND PRIX OF ALABAMA,POINT (-9642382.973 3966132.843699999)
4,5,20.0,STREETS OF TORONTO,100 PRINCES' BOULEVARD,TORONTO,ON,M6K 3C3,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,TORONTO,3520005,CAN,43.63333000000006,-79.41582999999997,711212,RACETRACKS,http://hondaindy.com/,2015-01-30,2018-08-13,INDY TORONTO,POINT (-8840529.7565 5408873.3895)
5,6,22.0,MID-OHIO SPORTS CAR COURSE,7721 STEAM CORNERS ROAD,LEXINGTON,OH,44904,NOT AVAILABLE,MULTIUSE,OPEN,10000.0,MORROW,39117,USA,40.68796722800005,-82.63948986999998,711212,RACETRACKS,http://midohio.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9199385.9317 4966425.276100002)
6,7,24.0,BELLE ISLE,STRAND DR.,DETROIT,MI,48207,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,WAYNE,26163,USA,42.33722393600004,-82.99788281799994,711212,RACETRACKS,http://detroitgp.com/,2015-01-30,2018-08-13,DETROIT BELLE ISLE GRAND PRIX,POINT (-9239282.0522 5211628.572899997)
7,9,27.0,BELMONT PARK RACE TRACK,2150 HEMPSTEAD TURNPIKE,ELMONT,NY,11003,1551,SINGLE USE,OPEN,32941.0,NASSAU,36059,USA,40.714469948000044,-73.72347999199997,711212,RACETRACKS,http://www.nyra.com/belmont/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8206860.2522 4970316.8336)
8,10,28.0,CHURCHILL DOWNS,700 CENTRAL AVENUE,LOUISVILLE,KY,40208,1200,SINGLE USE,OPEN,51000.0,JEFFERSON,21111,USA,38.20224008100007,-85.77063004399997,711212,RACETRACKS,http://www.churchilldowns.com,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9547942.8615 4608035.079700001)
9,11,29.0,DEL MAR,2260 JIMMY DURANTE BOULEVARD,DEL MAR,CA,92014,NOT AVAILABLE,SINGLE USE,OPEN,14304.0,SAN DIEGO,06073,USA,32.976940042000024,-117.26324994499998,711212,RACETRACKS,https://www.dmtc.com,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13053685.272599999 3892243.539499998)
10,12,30.0,GOLDEN GATE FIELDS,1100 EASTSHORE HIGHWAY,ALBANY,CA,94710,1007,SINGLE USE,OPEN,14750.0,ALAMEDA,06001,USA,37.88517064100006,-122.31113455499997,711212,RACETRACKS,http://www.goldengatefields.com,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13615613.217 4563216.951499999)
